# verified_date=2024-12-12
substance_name	category_code	prohibited
[(3-methyl-4-morpholino-2,2-diphenyl)putyryl]piroridine	N	false
1,1-Dimethyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
1-methyl-4-phenylpiperidine-4-carboxylic acid ester (Ex. Pethidine, Properidine)	N	false
1-Methylethyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
1-Methylpropyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
25B-NBOMe	N	false
25I-NBOMe	N	false
2C-B	N	false
2C-C-NBOMe(25C-NBOMe)	N	false
2C-I	N	false
2C-T-2	N	false
2C-T-4	N	false
2C-T-7	N	false
2-Fluorodeschloroketamine	N	false
2-Fluorofentanyl,ortho-fluorofentanyl,o-fluorofentanyl	N	false
2-Methyl-3-phenyloxirane-2-carboxylic acid	SRM	false
2-Methyl-AP-237	N	false
2-Methylpropyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
3-CMC	N	false
3CPP	N	false
3-hydroxymorphinan (other than dextrorotatory one)	N	false
3-hydroxy-N-methylmorphinan (other than dextrorotatory one)	N	false
3-hydroxy-N-phenacylmorphinan (other than dextrorotatory one)	N	false
3-MeO-PCP	N	false
3-methoxy-N-methylmorphinan (other than dextrorotatory one)	N	false
3-Methylfentanyl	N	false
3-Methylmethcathinone,3-MMC	N	false
3-Methylthiofentanil	N	false
4,4'-DMAR	N	false
4-CMC	N	false
4-FA,4FMP,4-Fluoroamphetamine,p-Fluoroamphetamine	N	false
4-FBF, p-FBF	N	false
4-FIBF, p-FIBF, 4-Fluoroisobutyryl fentanyl	N	false
4F-MDMB-BINACA	N	false
4-MEC，4-Methylethcathinone	N	false
4-Methylaminorex	N	false
4-Methylmethcathinone	N	false
4-MTA (4-Methylthioamphetamine)	N	false
5F-ADB,5F-MDMB-PINACA,MDMB2201 indazole analog	N	false
5-Fluoro-AMB	N	false
5F-MDMB-PICA	N	false
5F-QUPIC	N	false
5-MeO-DALT	N	false
5-MeO-DIPT	N	false
AB-CHMINACA	N	false
AB-FUBINACA	N	false
AB-PINACA	N	false
Acethylmetadol	N	false
Acetorphine	N	false
Acetylfentanyl	N	false
Acetyl-α-methylfentanyl	N	false
Acrylfentanyl, Acryloylfentanyl	N	false
ADB-BUTINACA	N	false
ADB-CHMINACA	N	false
ADB-FUBINACA	N	false
AH-7921	N	false
Alfentanil	N	false
Allobarbital	P	false
Allylprodine	N	false
Alprazolam	P	false
AM2201	N	false
Amfepramone	P	false
Amineptine	N	false
Aminorex	P	false
Amobarbital	P	false
Amphetamine, Phenylaminopropane (INN:Dexamphetamine, Levamfetamine)	S	true
AMT	N	false
Anileridine	N	false
APINACA N-(5-fluoropentyl) derivative	N	false
Barbital	P	false
Benzethidine	N	false
Benzfetamine	P	false
Bezitramide	N	false
bk-MDEA	N	false
Brolamfetamine (DOB)	N	false
Bromazepam	P	false
Bromazolam	P	false
Brorphine	N	false
Brotizolam	P	false
Buprenorphine	P	false
Butalbital	P	false
Butobarbital	P	false
Butonitazene	N	false
Butyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
Butyrlfentanyl	N	false
BZP	N	false
Camazepam	P	false
Cannabicyclohexanol	N	false
Cannabis (Has the shape of a cannabis plant) (whole plant, flower spike, leaf)	C, N	true
Cannabis(Does't have the shape of a cannabis plant)	N	false
Carfentanil, Carfentanyl,4-Carbomethoxyfentanyl	N	false
Cathine	P	false
Cathinone	N	false
Chlordiazepoxide	P	false
Chloroephedrine, Chloropseudoephedrine	SRM	false
Chloromethylephedrine, Chloromethylpseudoephedrine	SRM	false
Clobazam	P	false
Clonazepam	P	false
Clonazolam	P	false
Clonitazene	N	false
Clorazepate	P	false
Clotiazepam	P	false
Cloxazolam	P	false
Coca leaf **	N	false
Cocaine, other ecgonine ester	N	false
Codeine, Ethylmorphine, other morphine ether (*Any substances containing 1% or less of codeine or its salt are excluded.)	N	false
Codoxime	N	false
Crotonylfentanyl	N	false
CUMYL-4CN-BINACA,4-cyano CUMYL-BUTINACA, SGT-78	N	false
CUMYL-PEGACLONE	N	false
Cyclobarbital	P	false
Cyclopropylfentanyl	N	false
Delorazepam	P	false
Demethylmorphine, its ether	N	false
Desomorphine, its ester	N	false
DET(N,N-dietyltryptamine)	N	false
Diampromide	N	false
Diazepam	P	false
Diclazepam	P	false
Diethylthienebutene	N	false
Difenoxin	N	false
Dihydrocodeine, its ester (*Any substances containing 1% or less of dihydrocodeine or its salt are excluded.)	N	false
Dihydroetorphine	N	false
Dihydromorphine, its ester	N	false
Dimenoxadol	N	false
Dimepheptanol	N	false
Dimethylpropamine	SRM	false
Dimethylthiambutene	N	false
Dioxaphetyl putyrate	N	false
Dipentylone	N	false
Diphenidine	N	false
Diphenoxylate	N	false
Dipipanone	N	false
DMA(2,5-Dimethoxyamphetamine)	N	false
DMHP(Dimethylheptylpyran)	N	false
DMT(N,N-dimethyltryptamine)	N	false
DOC	N	false
DOET(2,5-Dimethoxy-4-ethylamphetamine)	N	false
DOM(2,5-Dimethoxy-4-methylamphetamine)	N	false
Drotebanol (Oxymethebanol)	N	false
Ecgonine	N	false
Ephedrine, Pseudoephedrine (*Any substances containing 10% or less of ephedrine or pseudoephedrine are excluded.)	SRM	false
Estazolam	P	false
Etazene,Etodesnitazene	N	false
Ethcathinone	N	false
Ethchlorvynol	P	false
Ethinamate	P	false
Ethyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
Ethylloflazepate	P	false
Ethylmethylthiambutene	N	false
Ethylphenidate	N	false
Eticyclidine	N	false
Etilamfetamine	P	false
Etizolam	P	false
Etonitazene	N	false
Etonitazepyne,N-Pyrrolidino Etonitazene	N	false
Etorphine	N	false
Etoxyeridine	N	false
Etryptamine	N	false
Eutylone，bk-EBDB	N	false
Fencamfamine	P	false
Fenetylline	P	false
Fenproporex	P	false
Fentanyl	N	false
Flualprazolam	P	false
Flubromazolam	P	false
Fludiazepam	P	false
Flunitrazepam	P	false
Flurazepam	P	false
FUB-AMB, MMB-FUBINACA, AMB-FUBINACA	N	false
Furanylfentanyl	N	false
