substance_name	limit_amount	limit_unit
Zipeprol	9	G
Secobarbital	6	G
Fenetylline	3	G
Phenmetrazine	2.25	G
Mecloqualone	9	G
Methylphenidate	2.16	G
Modafinil	6	G
Tetrazepam	12	G
Temazepam	900	MG
Delorazepam	180	MG
Triazolam	15	MG
Nitrazepam	450	MG
Nimetazepam	150	MG
Nordazepam	450	MG
Halazepam	4.8	G
Barbital	18	G
Haloxazolam	300	MG
Pinazepam	600	MG
Vinylbital	4.5	G
Pipradrol	180	MG
Pyrovalerone	2.4	G
Phenazepam	300	MG
Phenobarbital	6	G
Fencamfamine	1.8	G
Phentermine	1.125	G
Fenproporex	360	MG
Butobarbital	6	G
Prazepam	600	MG
Fludiazepam	22.5	MG
Flurazepam	900	MG
Propylhexedrine	2.25	G
Brotizolam	15	MG
Bromazepam	450	MG
Pemoline	6	G
Benzfetamine	1.5	G
Mazindol	90	MG
Midazolam	450	MG
Mesocarb	900	MG
Medazepam	900	MG
Methyprylon	12	G
Methylphenobarbital	12	G
Mefenorex	1.41	G
Meprobamate	18	G
Lefetamine	3	G
Ethylloflazepate	60	MG
Loprazolam	60	MG
Lorazepam	90	MG
Lormetazepam	60	MG
Amobarbital	9	G
Cathine	1.5	G
Glutethimide	15	G
Cyclobarbital	6.75	G
Flunitrazepam	60	MG
Butalbital	4.5	G
Buprenorphine	80	MG
Pentazocine	18	G
Pentobarbital	4.5	G
Alprazolam	72	MG
Aminorex	300	MG
Allobarbital	3	G
Amfepramone	2.25	G
Ethchlorvynol	22.5	G
Estazolam	120	MG
Etizolam	90	MG
Ethinamate	30	G
Etilamfetamine	1.8	G
Oxazepam	2.7	G
Oxazolam	1.8	G
Camazepam	1.8	G
Quazepam	900	MG
Cloxazolam	360	MG
Clotiazepam	900	MG
Clonazepam	180	MG
Clobazam	2.4	G
Clorazepate	900	MG
Chlordiazepoxide	1.8	G
Ketazolam	1.8	G
Diazepam	1.2	G
Secbutabarbital	3.6	G
Zopiclone	300	MG
Zolpidem	300	MG
